Invoice_ID,Branch,City,Customer_Type,Gender,Product_Line,Unit_Price,Quantity,Tax,Total,Date,Time,Payment_Method,Customer_Rating,Profit_Margin,Customer_Segment
INV-1,A,Chicago,Non-Member,Male,Clothing,479.82,1,47.98,527.80,2024-08-27,05:38,Cash,5,0.26,Frequent_Buyer
INV-2,A,Los Angeles,Member,Male,Toys,63.04,4,25.22,277.38,2024-10-23,02:07,Digital Wallet,1,0.33,High-Value
INV-3,C,New York,Non-Member,Female,Toys,353.40,2,70.68,777.48,2024-09-16,16:05,Credit Card,5,0.24,Occasional_Buyer
INV-4,B,Chicago,Non-Member,Male,Cosmetics,229.36,5,114.68,1261.48,2024-09-08,07:07,Digital Wallet,3,0.36,High-Value
INV-5,C,New York,Non-Member,Male,Groceries,321.82,7,225.27,2478.01,2024-08-22,23:32,Credit Card,5,0.38,High-Value
INV-6,C,New York,Non-Member,Male,Toys,114.18,3,34.25,376.79,2024-12-13,22:04,Cash,2,0.10,Frequent_Buyer
INV-7,B,Los Angeles,Member,Female,Electronics,426.00,10,426.00,4686.00,2025-02-07,15:05,Debit Card,1,0.29,Occasional_Buyer
INV-8,B,Chicago,Non-Member,Female,Furniture,226.67,1,22.67,249.34,2024-12-18,10:05,Credit Card,3,0.12,High-Value
INV-9,C,Chicago,Member,Male,Furniture,195.54,2,39.11,430.19,2024-11-14,14:15,Cash,3,0.36,High-Value
INV-10,B,Los Angeles,Non-Member,Male,Cosmetics,296.59,3,88.98,978.75,2024-08-07,01:39,Credit Card,2,0.40,Occasional_Buyer

